Source,Target,Weight,Timestamp
1078,1078,1,16
1078,1625,6,16
1080,533,1,7
1082,604,1,3
1082,614,1,3
1082,692,1,3
1082,788,1,3
1082,1082,1,3
1084,1,1,13
1084,111,2,12
1084,132,1,13
1084,215,1,12
1084,257,1,16
1086,1,4,15
1086,2,1,15
1086,5,1,15
1086,15,6,16
1086,21,1,16
1086,49,1,16
1086,64,1,16
1086,94,1,15
1086,98,13,9
1086,111,1,12
1086,225,1,15
1086,452,1,12
1086,501,1,15
1086,778,1,9
1086,1111,1,12
1086,1212,1,9
1091,44,1,8
1091,666,1,2
1092,74,1,16
1092,231,1,11
1095,223,1,15
1095,482,3,15
1098,547,1,6
1099,20,1,1
1099,1099,3,1
1100,1100,1,7
1101,1101,4,16
1105,1105,1,14
1106,67,1,2
1108,1067,4,15
1108,1108,3,15
1109,301,1,11
1109,541,1,2
1111,1,1,15
1111,125,1,4
1111,262,1,6
1111,283,2,5
1113,53,1,1
1113,74,2,1
1117,435,1,4
1117,1117,1,4
1121,1,1,6
1126,11,1,16
1128,115,1,7
1128,1432,1,4
1129,297,6,7
1129,1129,4,7
1130,1130,1,10
1134,917,2,3
1135,937,1,5
1137,522,1,9
1137,1137,2,14
1139,57,1,14
1142,1142,4,6
1144,669,1,6
1144,1387,2,6
1145,5,1,16
1149,1149,1,6
1154,199,4,10
1154,1154,2,10
1156,20,1,4
1156,1156,1,14
1160,112,1,15
1160,179,1,3
1160,1160,1,3
1161,288,1,11
1161,1161,2,7
1162,1162,4,17
1163,1163,2,5
1166,272,1,4
1166,1166,1,4
1169,1169,3,7
1171,56,1,17
1174,1174,2,3
1175,1175,2,12
1177,1,3,5
1177,2,2,5
1177,5,1,5
1177,6,1,1
1177,12,1,1
1177,19,1,11
1177,337,2,6
1177,1177,2,3
1177,1263,4,1
1180,168,2,8
1180,277,1,7
1180,486,1,7
1180,889,1,6
1180,1500,1,6
1184,255,6,1
1184,507,4,1
1184,935,2,3
1185,1185,1,14
1186,1,2,5
1186,283,1,5
1192,10,1,4
1192,34,1,13
1192,37,1,8
1193,534,2,10
1193,1193,3,10
1195,804,1,13
1195,1195,1,11
1197,1197,3,5
1197,1250,1,10
1198,1198,2,5
1199,304,1,2
1199,1199,1,2
1200,24,1,9
1200,72,1,9
1200,186,1,9
1203,282,1,11
1203,786,1,11
1204,122,1,10
1204,1040,1,10
1206,6,1,6
1206,904,1,6
1206,1206,1,6
1208,6,1,15
1209,1209,1,11
1210,1210,1,8
1212,22,1,6
1212,27,1,9
1212,98,1,13
1212,565,1,9
1212,778,3,12
1212,1212,1,12
1212,1516,1,16
1213,186,2,3
1215,249,1,14
1216,409,1,15
1216,1179,1,15
1217,186,1,6
1217,1217,2,6
1218,1218,1,7
1219,1454,2,7
1220,236,2,9
1220,1138,1,9
1220,1220,2,10
1220,1604,1,9
1221,467,1,7
1223,1,1,16
1223,49,1,3
1223,255,2,1
1223,264,2,1
1224,568,1,6
1224,1224,1,9
1229,1372,1,3
1231,578,2,1
1231,1231,2,1
1233,1233,2,8
1234,955,1,13
1238,1238,1,16
1239,66,1,9
1240,1240,1,15
1241,414,1,15
1241,744,1,16
1243,519,1,11
1244,647,1,10
1244,1244,2,10
1246,1,8,5
1246,15,1,16
1246,21,1,16
1246,22,1,9
1246,40,3,9
1246,94,2,16
1247,1247,1,7
1250,1197,2,10
1250,1250,2,10
1253,1253,3,11
1256,30,1,8
1256,123,2,6
1257,1257,3,10
1259,838,1,8
1262,103,1,5
1264,457,3,14
1264,1264,1,14
1266,1266,3,1
1267,54,1,11
1269,1269,1,4
1270,2,1,11
1270,19,1,11
1270,1366,1,17
1274,1,1,6
1274,30,3,1
1274,221,1,5
1276,1276,2,17
1280,23,1,2
1280,1240,1,15
1282,1282,1,5
1282,1582,2,5
1286,2,1,10
1286,95,1,12
1286,345,1,12
1286,1286,1,12
1287,1,1,15
1289,1289,3,12
1294,1294,2,16
1298,1491,1,13
1301,1,2,15
1301,1088,1,10
1303,1046,1,11
1305,1305,1,14
1306,1306,1,8
1315,506,1,2
1317,633,1,13
1322,5,1,16
1322,129,1,16
1322,480,1,16
1323,1591,2,15
1327,1,1,15
1327,43,1,5
1330,1330,1,13
1330,1538,1,13
1332,176,1,16
1332,1332,1,14
1333,1333,1,7
1334,622,2,11
1336,359,1,5
1336,1617,1,7
1337,919,1,8
1338,1338,1,11
1339,1339,1,11
1342,1342,1,5
1343,1,1,16
1343,41,3,16
1343,261,1,14
1343,1368,1,12
1344,1344,1,3
1349,1349,2,3
1352,221,2,12
1352,1578,1,13
1355,827,1,14
1355,1355,1,14
1356,474,1,12
1356,1356,1,13
1362,9,1,11
1362,84,1,8
1362,85,1,6
1363,1363,1,11
1364,1,2,1
1364,2,2,15
1364,19,1,1
1364,1364,1,8
1366,1366,1,10
1368,1,2,15
1368,35,1,16
1373,1,1,3
1373,11,1,16
1373,916,1,14
1373,1325,1,14
1373,1373,2,3
1374,872,5,3
1374,1374,2,4
1375,995,2,7
1376,1376,3,1
1377,1,3,11
1377,22,3,10
1377,49,1,16
1377,1506,4,11
1379,131,1,3
1379,267,1,7
1379,563,1,14
1381,998,1,9
1382,801,1,10
1383,209,3,10
1383,1383,1,10
1385,1,7,6
1385,21,2,15
1385,73,1,5
1385,94,1,15
1385,356,1,15
1386,1386,1,11
1393,1,1,6
1393,2,2,6
1393,5,2,6
1393,1393,1,6
1398,1398,1,11
1403,945,2,7
1404,1404,1,16
1405,1405,3,11
1406,24,1,9
1408,1042,2,9
1408,1408,2,5
1410,670,1,12
1411,653,1,10
1411,1375,2,8
1412,1412,1,14
1414,1414,1,1
1415,281,1,8
1415,759,1,8
1416,1416,2,11
1422,1422,2,17
1425,1425,1,9
1426,1426,1,3
1427,193,1,11
1427,682,1,6
1431,30,1,15
1431,673,1,15
1432,1432,1,4
1436,1436,1,10
1438,23,1,7
1438,332,7,5
1442,1442,1,6
1443,1443,1,14
1444,1431,1,7
1454,1454,1,16
1459,1459,1,5
1460,1460,3,4
1463,1463,2,10
1465,116,1,14
1470,1,4,1
1470,739,1,6
1471,1471,3,13
1471,1623,3,13
1472,10,1,16
1473,1473,3,13
1475,1475,1,16
1477,1477,1,4
1478,1478,2,3
1480,192,2,2
1482,1,1,15
1482,2,1,15
1482,5,1,15
1482,835,1,13
1482,884,1,13
1482,1113,1,16
1484,1484,1,6
1485,1485,3,11
1486,27,1,9
1487,1487,1,10
1491,1298,1,13
1494,626,6,9
1494,1494,3,10
1498,23,2,1
1505,1056,1,13
1506,1377,5,16
1507,249,1,10
1507,433,1,2
1508,969,1,9
1508,1433,1,17
1509,1509,1,11
1510,53,1,15
1510,67,1,10
1510,133,1,10
1511,1,1,15
1511,2,1,15
1511,5,1,15
1511,1511,2,5
1512,399,1,16
1512,1512,2,16
1514,16,2,11
1515,1515,1,11
1516,196,1,6
1521,1521,2,7
1522,5,1,9
1522,10,1,5
1522,342,4,8
1523,1523,1,14
1525,1525,3,5
1526,4,3,5
1526,1526,1,6
1529,541,2,5
1529,670,2,5
1529,1109,1,5
1529,1529,1,5
1530,5,1,16
1530,1530,2,13
1531,1531,1,15
1532,952,4,7
1532,1532,3,7
1533,231,1,6
1537,1537,1,9
1538,1330,4,13
1538,1538,3,13
1540,1540,1,10
1541,1541,1,17
1542,1542,3,13
1543,1543,3,17
1548,3,1,14
1549,1474,1,12
1550,818,2,3
1550,1550,1,3
1551,1063,1,15
1551,1551,1,7
1553,67,1,15
1561,892,1,6
1561,1077,1,6
1566,1566,1,9
1569,93,1,10
1569,237,1,13
1572,1572,1,6
1573,3,1,13
1575,70,1,7
1575,1575,1,7
1577,66,1,9
1577,1577,1,16
1578,1578,1,13
1579,5,1,16
1579,99,1,16
1579,103,1,14
1579,1125,1,6
1579,1185,1,14
1580,109,1,9
1580,1580,2,8
1580,1582,1,12
1581,132,2,4
1581,907,1,5
1582,26,1,9
1582,1282,2,5
1582,1580,2,12
1583,1583,1,11
1585,1585,3,7
1586,131,1,14
1587,1587,1,14
1588,1588,1,13
1592,73,1,5
1594,1594,1,7
1595,30,2,6
1596,313,1,10
1596,1596,2,10
1597,1597,2,17
1599,808,2,11
1599,1599,1,16
1602,367,1,3
1603,1603,2,14
1604,236,1,9
1606,85,2,6
1606,359,1,12
1609,198,1,12
1611,584,1,8
1612,325,1,2
1616,726,1,3
1620,362,3,5
1620,1620,1,5
1621,1621,1,13
1625,933,2,11
1625,1078,2,16
1626,1,11,1
