equipo,#,Jugador,Name,Repeat,Porcentaje,edad,altura,posiciÛn,Club
CRO,4,"Ukic, R.",Ukic,7,0,28,196,PG,"FenerbahÁe ‹lker, TBL"
CRO,10,"Planinic, Z.",Planinic,2,0,25,200,G,"CSKA Moscow, Superleague A"
CRO,9,"Tomas, M.",Tomas,13,0.01,25,202,SG/SF,"Real Madrid, ACB"
CRO,15,"Andric, L.",Andric,2,0,26,210,F,"Galatasaray CC, TBL"
CRO,13,"Banic, M.",Banic,3,0,26,205,PF,"Bilbao Basket, ACB"
CRO,14,"Zoric, L.",Zoric,0,0,23,210,C,"KK Zagreb, A1 Liga"
CRO,11,"Tomic, A.",Tomic,3,0,24,217,C,"Real Madrid, ACB"
CRO,8,"Stipcevic, R.",Stipcevic,0,0,21,183,SG,"Zadar, A1 Liga"
CRO,7,"Bogdanovic, B.",Bogdanovic,7,0,33,204,SF,"Cibona Zagreb, A1 Liga"
ESP,15,"Garbajosa, J.",Garbajosa,37,0.02,30,207,F,"Real Madrid, ACB"
ESP,8,"Lopez, R.",Lopez,36,0.02,30,186,PG,"BC Khimki, Superleague A"
ESP,7,"Navarro, J.",Navarro,182,0.09,30,192,PG,"FC Barcelona, ACB"
ESP,9,"Reyes, F.",Reyes,40,0.02,31,206,PF/C,"Real Madrid, ACB"
ESP,14,"Mumbru, A.",Mumbru,3,0,27,202,SF,"Bilbao Basket, ACB"
ESP,11,"Vazquez, F.",Vazquez,21,0.01,25,209,C,"FC Barcelona, ACB"
ESP,5,"Fernandez, R.",Fernandez,43,0.02,25,198,SG,"Portland Trail Blazers, NBA"
ESP,13,"Gasol, M.",Gasol,156,0.07,26,216,C,"Memphis Grizzlies, NBA"
ESP,4,"San Emeterio, F.",Emeterio,8,0,22,197,SG/SF,"Caja Laboral, ACB"
ESP,12,"Llull, S.",Llull,16,0.01,20,192,PG,"Real Madrid, ACB"
ESP,10,"Claver, V.",Claver,36,0.02,29,207,F,"Valencia, ACB"
ESP,6,"Rubio, R.",Rubio,101,0.05,28,192,PG,"FC Barcelona, ACB"
FRA,11,"Pietrus, F.",Pietrus,12,0.01,25,202,F,"Valencia, ACB"
FRA,13,"Diaw, B.",Diaw,30,0.01,25,203,F,"Bobcats, NBA"
FRA,10,"Bokolo, Y.",Bokolo,2,0,27,191,G,"Gravelines Dunkerque, Pro A"
